Nazwa,Opis,Linki,Nieruchomości,Wielkość
Agata Plichta,"Adwokat z kancelari Pociej, Dubois, Kosińska-Kozak. 
Absolwentka Wydziału Prawa i Administracji Uniwersytetu Kardynała Stefana Wyszyńskiego w Warszawie. 
Specjalizuje się w prawie administracyjnym, w tym głównie w sprawach z zakresu nieruchomości, ze szczególnym uwzględnieniem nieruchomości warszawskich – zarówno spraw reprywatyzacyjnych jak i rozliczeń poreprywatyzacyjnych. 
Doświadczenie zawodowe zdobywała w wydziale cywilnym warszawskiego sądu oraz w kancelarii r. pr. Piotra Wociala. Reprezentowała m. in. zarządcę kamienicy przy ul. Jagiellońskiej 27, która to kamienica została podpalona przez nieznanych sprawców. 
","http://warszawa.wyborcza.pl/warszawa/1,54420,10772483,Praga__mieszkancy_nie_wierza_w_przypadkowe_pozary.html",Jagiellońska 27,small
Hanna Gronkiewicz-Waltz,"Prezydent Warszawy. W latach 2011-2014 sprawowała bezpośredni nadzór nad warszawską reprywatyzacją. Jej mąż Andrzej Waltz odziedziczył po swoim wuju Romanie Kępskim zreprywatyzowaną kamienicę przy ul. Noakowskiego 16, ukradzioną żydowskim właścicielom.",,Noakowskiego 16,small
Henryk Bęben,"Legenda warszawskiego samorządu. Z wykształcenia ekonomista i menedżer. Absolwent Szkoły Głównej Planowania i Statystyki oraz Uniwersytetu Warszawskiego. Członek przelicznych rad nadzorczych spółek Skarbu Państwa. Pracę w warszawskiej administracji publicznej rozpoczął w czasach stanu wojennego (1983 r.) w Urzędzie Dzielnicy Mokotów. Piastował stanowisko zastępcy prezydenta miasta stołecznego Warszawy w Gminie Warszawa-Centrum za czasów Marcina Święcickiego. Następnie został radnym dzielnicy Ursynów. Członek PZPR, ZMS, ZSP, SdRP, obecnie zaś SLD. Uczestnik konferencji z 1997 r.",,,small
Jakub R.,"Zastępca dyrektora w Biurze Gospodarki Nieruchomościami, pracował w BGN w latach 2006 - 2012. Odszedł z pracy bo - jak wyznał Gazecie Stołecznej - miał „po uszy i po dziurki w nosie całej atmosfery” w urzędzie. Za czasów jego urzędowania jego rodzice Alina D. i Wojciech R. kupili roszczenia do kamienicy na Mokotowie, przy Kazimierzowskiej 34. Rudnickickiemu oddano kamienicę kilka dni po jego odejściu z urzędu, zwrotu dokonał zwolniony dyscyplinarnie przez Hannę Gronkiewicz-Waltz w dniu 26 sierpnia 2016 r. - Jerzy Mrygoń. Rudnicki za czasów swojej pracy w urzędzie zwrócił swojemu bratu Adamowi kamienicę przy ul. Marszałkowskiej 43.","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html","Kazimierzowska 34, Marszałkowska 43",small
Jan Stachura,"Antykwariusz i adwokat zajmujący się wyłącznie reprywatyzacją nieruchomości warszawskich. Mówi się, że jest miliarderem. Śródmieście południowe nazywane bywa potocznie stachurlandią. Przeglądając treść ksiąg wieczystych dowolnego fragmentu tej dzielnicy miasta, można z dużą dozą prawdopodobieństwa założyć, że natrafimy na Jana Stachurę, lub jednego z dwóch jego słupów: konkubinę Marię Trzcińska bądź prawomocnie skazanego przestępcę Zbigniewa Niebrzydowskiego (względnie, jego rodziców Zygmunta i Celinę). 
Wychował adw. Roberta N., który odbył aplikację w kancelarii Jana Stachury. Ten sam Robert N. bronił w drugiej instancji słupa Zbigniewa Niebrzydowskiego oskarżonego o podrabianie dokumentów, podrabianie czeków, doprowadzenie do niekorzystnego rozporządzenia mieniem oraz wyrządzenie znacznej szkody majątkowej spółce z o.o. „Unikat”, tj. wyprowadzenie z konta tejże spółki milionowych kwot (por. Wyrok Sądu Apelacyjnego w Warszawie z dnia 2 grudnia 2004 r., sygn. akt II AKa 451/04).
Stachura jak twierdzi już od lat 60' skupował roszczenia od przedwojennych spadkobierców. Na swojej stronie chwali się odzyskanymi przez siebie nieruchomościami. Reprywatyzuje nieruchomości nie tylko na rzecz swoich klientów, ale także dla siebie. Powszechną metodą rozliczenie z klientami jest nabycie udziału w odzyskanej nieruchomości. 
To Jan Stachura wpadł na pomysł, iż można domagać się usunięcia z obrotu prawnego dawnych decyzji komunalizacyjnych na podstawie art. 156 § 1 pkt 2 k.p.a. Jest również pomysłodawcą dochodzenia od m. st. Warszawy odszkodowań za bezumowne korzystanie z nieruchomości. 
","http://www.newsweek.pl/biznes/dekret-bieruta--warszawie-grozi-bankructwo--czy-dostanie-prawo-pierwokupu-nieruchomosci-,107136,1,1.html","Wilcza 8, Al. Jerozolimskie 57, Al. Niepodległości 151, Asfaltowa 2, Belgijska 2, Bracka 3, Bracka 20, Bracka 22, Konopnickiej 3, Koszykowa 49a, Widok 10, Widok 16, Widok 22",small
Magdalena Walter-Król,Magdalena Walter-Król. Adwokat specjalizujący się w sprawach dekretowych. Przewodnik turystyczny. Absolwentka Europejskiej Szkoły Prawa i Administracji w Warszawie. Nieformalnym promotorem jej pracy magisterskiej był sędzia NSA Eugeniusz Mzyk. Obecnie pracownik kancelarii Jana Stachury. Prowadzi również indywidualną kancelarię adwokacką w Nowym Dworze Mazowieckim. Wcześniej zdobywała doświadczenie pracując w Departamencie Orzecznictwa Ministerstwa Infrastruktury (orzekającego w sprawach o stwierdzenie nieważności dawnych decyzji komunalizacyjnych) oraz w Biurze Orzecznictwa Naczelnego Sadu Administracyjnego (na czele którego stali Eugeniusz Mzyk oraz Maria Rzążewska).,"http://suwka.pl/magdalena_walter-krol.php, www.adwokatnowydwor.pl",,small
Marcin Karczewski,"Magister prawa. Absolwent Europejskiej Szkoły Prawa i Administracji w Warszawie. Pracownik Biura Spraw Dekretowych Urzędu m. st. Warszawy na stanowisu głównego specjalisty. Utrudnia i przewleka dostęp do informacji publicznej. 
",,,small
Marcin Święcicki,"Socjolog i ekonomista. Doktor nauk ekonomicznych. Absolwent Uniwersytetu Warszawskiego oraz studiów podyplomowych na George Washington University oraz Uniwersytecie Harvarda. Prezydent m. st. Warszawy od 3 listopada 1994 r. do 30 marca 1999 r. Zięć Eugeniusza Szyra. Członek ZMS, ZSMP, oraz PZPR. Od lipca 1989 do stycznia 1990 pełnił funkcję członka Komitetu Centralnego PZPR, a od lipca do września 1989 był sekretarzem KC. W 1989 uczestniczył w obradach Okrągłego Stołu po stronie rządowej. Członek Unii Demokratycznej, Unii Wolności, Partii Demokratycznej – demokraci.pl. Obecnie w Platformie Obywatelskiej. W zamierzchłych czasach, był również działaczem Klubu Inteligencji Katolickiej. 
To za jego kadencji radykalnie wzrosła ilość nieruchomości  zwracanych wraz z lokatorami (wcześniej w przeważającej większości - choć nie wyłącznie - oddawano domy jednorodzinne). To za jego kadencji i z udziałem jego przedstawiciela odbyła się konferencja z 1997 r. To za jego kadencji w stołecznym Ratuszu zawiązała się mafia reprywatyzacyjna, która funkcjonuje w nim do dzisiaj.
",,,small
Marian Robełek,"Generał dywizji Wojska Polskiego. 
Absolwent Oficerskiej Szkoły Wojsk Pancernych w Poznaniu oraz Akademii Sztabu Generalnego Sił Zbrojnych ZSRR im. K. Woroszyłowa w Moskwie. Jesienią 1988 r. mianowany generałem brygady, nominację wręczył mu w Belwederze gen. Wojciech Jaruzelski. 11 listopada 1993 r. mianowany generałem dywizji przez prezydenta RP Lecha Wałęsę. W czasach czynnej służby, dowódca wielu górnośląskich pułków czołgów oraz dywizji pancernych Ludowego Wojska Polskiego.
W wolnych chwilach kamienicznik, handlarz roszczeniami i deweloper. Ze szczególnym upodobaniem nabywa roszczenia do nieruchomości należących przed wojną do znanej rodziny fabrykantów wind - Groniowskich. Jego ulubionym profesjonanym pełnomocnikiem był Robert N., zaś partnerem biznesowym: Mirosław Bieniek
",,"Noakowskiego 20, Puławska 1a, Emiliii Plater 12, Emilii Plater 14, Emilii Plater 15, Mokotowska 40",small
Mirosław Bieniek,"Deweloper. Handlarz roszczeniami. Reaktywator przedwojennych spółek. Prezes zarządu spółki Plater sp. z o.o. oraz główny udziałowiec spółki Invista. Partner biznesowy generała Mariana Robełka. Człowiek enigma. Niewiele o nim wiadomo, bo bardzo dba o swą prywatność.",,"Noakowskiego 20, Puławska 1a, Emiliii Plater 12, Emilii Plater 14, Emilii Plater 15, Mokotowska 40, Zgoda 4",small
Paweł Andrzej Kania,"Notariusz. Absolwent Wydziału Prawa i Administracji Uniwersytetu im. Adama Mickiewicza w Poznaniu oraz Wydziału Prawa Europejskiego Uniwersytetu Viadrina we Frankfurcie. Były sędzia w Sądzie Rejonowym dla Warszawy-Mokotowa w Warszawie zarówno w Wydziale Ksiąg Wieczystych, jak i w Wydziale Cywilnym. Przez sześć lat prowadził spółkę cywilną z notariuszem Piotrem Sicińskim. Kompleksowo obsługiwał adwokata Roberta N. oraz Janusza P. ",,Mokotowska 40,small
Piotr Baczkowski ps. „Łapa”,"Gangster. Posługiwał się również tożsamością: „Peter von Bakov”. Kierował zorganizowaną grupą przestępczą oraz uczestniczył w procederze przywłaszczania pożydowskich kamienic w Krakowie. Oskarżono go o spreparowanie dokumentów, które posłużyły do wyłudzenia pożydowskich budynków przy ul. Karmelickiej 11 i Dietla 59 w Krakowie. Jak się okazuje, aktywny był również na rynku warszawskich nieruchomości dekretowych. Zniknął bez śladu wraz z małżonką w styczniu 2011 r.","http://www.dziennikpolski24.pl/magazyny/a/lapa-na-wlosciach,10659061/, http://niezalezna.pl/63586-palac-gangstera-na-sprzedaz","Flory 3, Mokotowska 8",small
Robert N.,"Adwokat specjalizujący się w reprywatyzacji. Wyjątkowo skuteczny - jak podaje Gazeta Wyborcza, ze 120 warszawskich nieruchomości, o które zabiega dla klientów i dla siebie, przejął prawie 50. Od wielu lat ściśle współpracuje z Januszem Piecykiem, swoim kolegą z czasów nauki w technikum samochodowym przy ul. Hożej. Panowie byli właścicielami m. in. Poznańskiej 14. Partner biznesowy Jakuba R. ","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html","Chmielna 70, Poznańska 14, Wspólna 54, Wilanowska 22, Puławska 1a, Mokotowska 40, al. Róż 10, wiele, wiele innych",small
Katarzyna Smolaga,"Postać enigmatyczna. Wiadomo tylko, iż jest konkubiną Roberta N. oraz udziałowcem spółki Corpo Investment, której prezesem jest Janusz P. W wolnych chwilach zajmuje się „administrowaniem” nieruchomościami przejętymi przez swego konkubenta.",,"Marszałkowska 43, Bracka 23",small
Rafał Sarbiński,"Adwokat specjalizujący się w sprawach restytucji nieruchomości waszawskich. Doktor nauk prawnych. Autor prozwrotowej doktryny. Absolwent Wydziału Prawa i Administracji Uniwersytetu Warszawskiego. Prowadził zajęcia dydaktyczne dla studentów Wydziału Prawa i Administracji Uniwersytetu Warszawskiego oraz szkolenia dla aplikantów adwokackich Okręgowej Rady Adwokackiej w Warszawie. Specjalizuje się w spawach dotyczących gruntów warszawskich objętych działaniem dekretu Bieruta. Nie widzi problemu w jednoczesnym pisaniu prac naukowych wpływających na orzecznictwo sądowe w zakresie interpretacji przepisów dekretu Bieruta oraz jednoczesnej reprezentacji osób posiadających do warszawskich nieruchomości roszczenia. Reprezentował przed Komisją Weryfikacyjną Katarzynę Smolagę, konkubinę Roberta N. Kancelarię adwokacką prowadzi przy ul. Bukowińskiej 22 w Warszawie w tym samym lokalu (11b) co r. pr. Adam Starczewski, były p.o. wicedyrektora Biura Prawnego stołecznego Ratusza. ","https://www.profinfo.pl/sklep/roszczenia-przyslugujace-bylym-wlascicielom-tzw-gruntow-warszawskich-sposob-ich-dochodzenia-w-postepowaniu-administracyj,23192.html, https://youtu.be/0bzpo0qH5aM?t=7438, http://www.lawsss.pl/kontakt.html",Marszałkowska 43,small
Katarzyna Sobczyk-Sarbińska,"Radca prawny. Autorka prozwrotowej doktryny. Absolwentka Wydziału Prawa i Administracji Uniwersytetu Warszawskiego. Doświadczenie zawodowe zdobyła m.in. pracując w Biurze Orzecznictwa Naczelnego Sądu Administracyjnego, gdzie zajmowała się problematyką prawną nieruchomości. Nie widzi problemu w jednoczesnym pisaniu prac naukowych wpływających na orzecznictwo sądowe w zakresie interpretacji przepisów dekretu Bieruta oraz jednoczesnej reprezentacji osób posiadających do warszawskich nieruchomości roszczenia. Reprezentowała przed Komisją Weryfikacyjną Katarzynę Smolagę, konkubinę Roberta N. Kancelarię adwokacko-radcowską prowadzi przy ul. Bukowińskiej 22 w Warszawie w tym samym lokalu (11b) co r. pr. Adam Starczewski, były p.o. wicedyrektora Biura Prawnego stołecznego Ratusza.","https://youtu.be/0bzpo0qH5aM?t=8109, http://www.lawsss.pl/kontakt.html",Marszałkowska 43,small
Adam Starczewski,"Radca prawny. Były p.o. wicedyrektora biura prawnego Urzędu m. st. Warszawy. Po odejściu z pracy w Ratuszu staje się „ekspertem ds. reprywatyzacji gruntów warszawskich”. Reprezentuje m. in. Marzenę K. w sprawie o odszkodowanie za nieruchomość przy ul. Brackiej 23, zreprywatyzowanej na rzecz fikcyjnie reaktywowanej spółki Warszawskie Towarzystwo Handlu Herbatą. Podstawą do wystąpienia przez Marzenę K. przeciwko m. st. Warszawie z roszczeniem na 9 mln 800 tys zł, była umowa cesji roszczeń, na mocy której jej brat Robert N. nabył przedmiotowe roszczenia za kwotę 30 tys zł. Kancelarię radcowską prowadzi w tym samym lokalu, co twórcy prozwrotowej doktryny: adw. Rafał Sarbiński i r.pr. Katarzyna Sobczyk-Sarbińska.","http://wyborcza.pl/1,75398,20845509,nowy-uklad-warszawski-jak-mecenas-nowaczyk-reprywatyzuje-nieruchomosci.html, https://www.money.pl/rejestr-firm/nip/125-03-26-909/kod-pocztowy/02-703/",Bracka 23,small
Jerzy Sulimierski,Sędzia Naczelnego Sądu Administracyjnego w Warszawie. Obecnie wiceprezes Akademii de Virion. Jeden z pomysłodawców „uskutecznienia” wniosków nieskutecznych. Jeden z prekursorów pojęcia „nieskutecznego objęcia gruntu w posiadanie”. Członek składu orzekającego w uchwale OPS 3/03 w sprawie skuteczności wniosków zwrotowych złożonych „za wcześnie”. ,http://akademiadevirion.pl/o-nas/,,small
Roman Hauser,"Sędzia. Naukowiec. Profesor nauk prawnych. Absolwent Uniwersytetu im. Adama Mickiewicza w Poznaniu. Odznaczony przez prezydenta Aleksandra Kwaśniewskiego Krzyżem Komandorskim z Gwiazdą Orderu Odrodzenia Polski. Nominat Platformy Obywatelskiej do Trybunału Konstytucyjnego, niezaprzysiężony przez Andrzeja Dudę. W latach 1990–1992 prorektor swej alma mater. Od 22 maja 1992 r. do 21 maja 2004 r. przez dwie kadencje zajmował stanowisko prezesa Naczelnego Sądu Administracyjnego. Następnie był wiceprezesem NSA oraz dyrektorem Biura Orzecznictwa. Z dniem 23 maja 2010 r. pełniący wówczas obowiązki Prezydenta RP Bronisław Komorowski ponownie powołuje go na prezesa NSA. Jest przewodniczącym składu orzekającego w sprawie OPS 3/03, której teza pozwala na pozytywne rozpatrywanie wniosków złożonych „za wcześnie”. Członek składu orzekającego w sprawie I OPS 5/08, której teza umożliwiła zwrot w naturze również tych nieruchomości, które zostały przeznaczone na cele publiczne.",,,small
Piotr Wocial,"Adwokat, specjalizuje się w sprawach reprywatyzacyjnych. Jego kancelaria mieści się na Noakowskiego 16.","https://www.wprost.pl/121859/Poczta%20http://warszawa.wyborcza.pl/warszawa/1,34889,10352899,Tajemnicza_firma_przejela_budynek__Mieszkancy_bez.html","Noakowskiego 16, Odolańska 7, Tamka 45a",small
Marzena K.,"Urzędniczka Ministerstwa Sprawiedliwości w Departamencie Współpracy Zagranicznej i Praw Człowieka. Siostra mec. Nowaczyka, z którym prowadziła wspólne interesy na rynku nieruchomości. W ciągu ostatnich 5 lat w ramach odszkodowań reprywatyzacyjnych otrzymała od M. St. Warszawy kwotę 38 mln zł. Jest też współwłaścicielką zreprywatyzowanej kamienicy przy ul. Odolańskiej 7. Była właścicielką Mokotowskiej 63.","http://www.se.pl/wiadomosci/polityka/oto-jak-szef-warszawskiej-adwokatury-zostal-wlascicelem-dzialki-wartej-fortune_849144.html, http://www.newsweek.pl/polska/reprywatyzacja-w-warszawie-marzena-kruk-i-kulisy-afery,artykuly,396578,1.html","Plac Defilad 1 / dawna Chmielna 70, Odolańska 7, Mokotowska 63",small
